entity,CM,ARR,CHD,VD,IHD,CCD,VOO,OTH
P17677,0.19599875918697215,0.34462181421225474,0.0,0.0,0.33362816834246134,0.1315859162948688,0.0,0.10433760398835085
Q99727,0.06183072441707387,0.07023221885580212,0.0,0.0,0.09573317728920001,0.0,0.0,0.0
Q9BZF1,0.09799937959348608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9Y4P1,0.17358078852665962,0.0,0.0,0.0,0.18120272986706282,0.0,0.0,0.0
Q9UEE9,0.0,0.0,0.0,0.14964050105801427,0.18120272986706282,0.0,0.0,0.0
Q99969,0.414293041685598,0.25989009214718795,0.3064037755706974,0.27686782677880506,0.5420628075438527,0.0,0.13211514703652694,0.3057036541161743
O60885,0.3750706890245853,0.0,0.0,0.0,0.34089404952143326,0.0,0.0,0.38397739260620944
P52945,0.0,0.0,0.07089515809695184,0.07482025052900713,0.06040090995568761,0.0,0.0833553771628128,0.0
P28749,0.06183072441707387,0.07023221885580212,0.0,0.0,0.0,0.0,0.0,0.0658296987726065
P53007,0.0,0.14046443771160425,0.19902787103352976,0.0,0.09573317728920001,0.16604293948279197,0.0,0.0
P38484,0.0,0.0,0.14179031619390367,0.0,0.12080181991137522,0.0,0.0,0.0
P49795,0.0,0.0,0.0,0.0,0.09573317728920001,0.0,0.0,0.0
Q53EL6,0.3558288631975321,0.0,0.0,0.11858729138303857,0.3959031310267348,0.0,0.0833553771628128,0.2796397886178586
Q96NL6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0658296987726065
P51787,0.3558288631975321,0.6987984071273398,0.2897813243458588,0.323367742827827,0.3214492996499357,0.7949753418386227,0.0,0.45702363861093337
O60895,0.2715801681201457,0.0,0.0,0.0,0.24160363982275043,0.0,0.0,0.3403346055219147
Q8NBP7,0.09799937959348608,0.0,0.0,0.11858729138303857,0.3426196523107808,0.0,0.0833553771628128,0.0
P17661,0.6567125400161155,0.6306951281724038,0.4221236887651649,0.4674715018429257,0.42744610165047286,0.5714071416634235,0.1667107543256256,0.6013165331207121
Q8N6Q3,0.15983010401055994,0.0,0.0,0.0,0.14024656978287284,0.0,0.0,0.0
Q8IVT2,0.06183072441707387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P02741,0.6409572120476241,0.7007265071728469,0.5246865176917053,0.6185230400446167,0.7582651257537618,0.566221281359058,0.6103220779083315,0.6318369048893009
Q13425,0.0,0.0,0.0,0.0,0.0,0.08302146974139599,0.0,0.0
Q8WTS1,0.3196602080211199,0.18154765208468981,0.0,0.0,0.09573317728920001,0.21460738603626478,0.0,0.18480732886684628
Q96PU8,0.09799937959348608,0.0,0.0,0.0,0.12080181991137522,0.0,0.0,0.0
P48023,0.28713299230248374,0.18154765208468981,0.07089515809695184,0.0,0.32570087910574536,0.0,0.0,0.15285182705808714
O14965,0.0,0.0,0.14179031619390367,0.0,0.0,0.0,0.0,0.0
P01210,0.34716157705331924,0.0,0.0,0.0,0.26104838969424804,0.0,0.0,0.15285182705808714
Q07812,0.12366144883414774,0.0,0.0,0.0,0.12080181991137522,0.0,0.0,0.0
P41182,0.09799937959348608,0.0,0.2126854742908555,0.0,0.12080181991137522,0.0,0.0,0.0
O95425,0.06183072441707387,0.0,0.0,0.0,0.06040090995568761,0.0,0.0,0.0
Q15648,0.12366144883414774,0.0,0.27697962644316027,0.0,0.0,0.0,0.0,0.0
Q96F46,0.20539722056831577,0.0,0.0,0.0,0.06040090995568761,0.0,0.0,0.17016730276095735
Q5VZ89,0.0,0.0,0.0,0.0,0.22996770181654533,0.0,0.0,0.0
Q9UHR5,0.06183072441707387,0.0,0.0,0.0,0.06040090995568761,0.0,0.0,0.0
Q8IWT0,0.22880086843437641,0.2333063809833671,0.07089515809695184,0.0,0.16956679186085774,0.0,0.0,0.0
Q9NZQ7,0.24156587574472793,0.07023221885580212,0.0,0.0,0.0,0.08302146974139599,0.0,0.0
P57059,0.09799937959348608,0.07023221885580212,0.0,0.0,0.09573317728920001,0.0,0.0,0.2506370276394528
Q58FF3,0.21389916305167456,0.0,0.2541564832602702,0.0,0.20895281769517002,0.0,0.0,0.0
P78380,0.22880086843437641,0.0,0.0,0.0,0.4111704316836081,0.0,0.0,0.1974890963178195
Q71SY5,0.06183072441707387,0.0,0.16461345937679372,0.0,0.0,0.0,0.0,0.0
O15519,0.1854921732512216,0.2517798709404919,0.07089515809695184,0.0,0.23597974707207284,0.0,0.0,0.17016730276095735
O00142,0.12366144883414774,0.0,0.0,0.07482025052900713,0.0,0.0,0.0,0.0
Q07065,0.2626524354274362,0.16307416212756493,0.27697962644316027,0.23717458276607714,0.22350992621189014,0.0,0.0,0.2796397886178586
O14727,0.15983010401055994,0.0,0.0,0.0,0.16956679186085774,0.0,0.0,0.0
Q5TAQ9,0.1854921732512216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O00222,0.0,0.0,0.07089515809695184,0.0,0.0,0.0,0.0,0.0
Q9P243,0.0,0.0,0.11236616706636653,0.0,0.0,0.0,0.0,0.0
Q02548,0.0,0.0,0.0,0.07482025052900713,0.06040090995568761,0.0,0.0833553771628128,0.0
P05089,0.17358078852665962,0.07023221885580212,0.0,0.0,0.18120272986706282,0.08302146974139599,0.0,0.10433760398835085
P08697,0.12366144883414774,0.0,0.0,0.0,0.12080181991137522,0.0,0.0,0.0658296987726065
P11166,0.33126132154768245,0.07023221885580212,0.07089515809695184,0.23717458276607714,0.3236010162138505,0.0,0.0,0.3429367458292949
O14958,0.09799937959348608,0.22263086645777538,0.0,0.0,0.06040090995568761,0.1927698830713884,0.0,0.17016730276095735
Q9P2M7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10433760398835085
P19224,0.06183072441707387,0.0,0.0,0.0,0.06040090995568761,0.0,0.0,0.0
O60603,0.2527307885023795,0.14046443771160425,0.0,0.07482025052900713,0.2769359071562628,0.0,0.0833553771628128,0.24359883197141702
P15514,0.32680024802786245,0.16307416212756493,0.0,0.0,0.3214492996499357,0.0,0.0,0.23599700153356384
O94811,0.0,0.0,0.0,0.0,0.12080181991137522,0.0,0.0,0.0658296987726065
O75460,0.15983010401055994,0.0,0.0,0.0,0.16956679186085774,0.0,0.0,0.131659397545213
P51955,0.0,0.0,0.07089515809695184,0.0,0.0,0.0,0.0,0.0
Q9Y3M2,0.0,0.0,0.0,0.07482025052900713,0.0,0.0,0.0,0.0
P16070,0.19599875918697215,0.11131543322888769,0.19902787103352976,0.07482025052900713,0.20895281769517002,0.0,0.0833553771628128,0.10433760398835085
Q92621,0.0,0.0,0.18326132516331836,0.0,0.0,0.0,0.0,0.0
P47985,0.19599875918697215,0.0,0.0,0.0,0.06040090995568761,0.0,0.0,0.0
P07585,0.46757892730711786,0.25989009214718795,0.31139403809989624,0.4244122851933963,0.3426196523107808,0.0,0.42047737437699884,0.3429367458292949
P19875,0.20539722056831577,0.07023221885580212,0.07089515809695184,0.0,0.21653499720057523,0.0,0.0,0.131659397545213
P98160,0.06183072441707387,0.0,0.07089515809695184,0.0,0.09573317728920001,0.0,0.0,0.0
Q14839,0.0,0.07023221885580212,0.0,0.0,0.0,0.0,0.0,0.0
P05161,0.2626524354274362,0.0,0.0,0.0,0.0,0.0,0.0,0.257189431046438
Q7Z434,0.09799937959348608,0.0,0.0,0.0,0.06040090995568761,0.0,0.0,0.10433760398835085
P10767,0.06183072441707387,0.0,0.0,0.0,0.06040090995568761,0.0,0.0,0.0
Q15582,0.0,0.0,0.0,0.0,0.06040090995568761,0.0,0.0,0.0
Q9NRH2,0.3171472846779015,0.0,0.0,0.0,0.28719953186760006,0.0,0.0,0.0658296987726065
P09543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10433760398835085
Q9BRV8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2086752079767017
Q49A26,0.0,0.0,0.14179031619390367,0.0,0.0,0.0,0.0,0.0
O00300,0.4815316569367559,0.40603772068438143,0.32505164135722203,0.5611403482005092,0.5903065012094763,0.0,0.5925337371658234,0.4745961433745079
P23634,0.0,0.07023221885580212,0.0,0.0,0.0,0.0,0.0,0.0658296987726065
Q9UI46,0.0,0.0,0.31615210962583706,0.0,0.0,0.0,0.0,0.0
P05556,0.06183072441707387,0.0,0.07089515809695184,0.0,0.14024656978287284,0.0,0.0,0.0658296987726065
Q9UKV3,0.0,0.0,0.0,0.0,0.06040090995568761,0.0,0.0,0.0
Q6ZQW0,0.06183072441707387,0.0,0.0,0.0,0.09573317728920001,0.0,0.0,0.0
Q03431,0.0,0.0,0.19902787103352976,0.0,0.0,0.0,0.0,0.0
P27930,0.06183072441707387,0.0,0.0,0.0,0.06040090995568761,0.0,0.0,0.0
P26678,0.17358078852665962,0.11131543322888769,0.0,0.07482025052900713,0.09573317728920001,0.08302146974139599,0.0833553771628128,0.10433760398835085
P49591,0.12366144883414774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q93088,0.09799937959348608,0.0,0.28358063238780734,0.11858729138303857,0.20064747973856048,0.0,0.0,0.0
O00469,0.0,0.0,0.0,0.0,0.12080181991137522,0.0,0.0,0.0
